#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	PDE1B	9606.ENSP00000297323	9606.ENSP00000243052	0	0	0	0	0.042	0	0.650	0.233	0.720
ADCY1	CAMK4	9606.ENSP00000297323	9606.ENSP00000282356	0	0	0	0	0.061	0	0.650	0.227	0.724
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0.068	0.852	0.109	0	0.900	0.165	0.921
ADCY1	CALM3	9606.ENSP00000297323	9606.ENSP00000291295	0	0	0	0	0	0.046	0.900	0.768	0.975
ADCY1	ADCY9	9606.ENSP00000297323	9606.ENSP00000294016	0	0	0	0.703	0.073	0.124	0.500	0.511	0.775
ADCY1	CACNA1H	9606.ENSP00000297323	9606.ENSP00000334198	0	0	0	0	0.103	0	0	0.360	0.401
ADCY1	SCN8A	9606.ENSP00000297323	9606.ENSP00000346534	0	0	0	0	0.109	0	0	0.358	0.404
ADCY1	CACNA1G	9606.ENSP00000297323	9606.ENSP00000352011	0	0	0	0	0.099	0	0	0.450	0.483
ADCY1	ADCY6	9606.ENSP00000297323	9606.ENSP00000311405	0	0	0.081	0.875	0.044	0	0.500	0.109	0.556
ADCY1	ADCY4	9606.ENSP00000297323	9606.ENSP00000312126	0	0	0.087	0.834	0	0	0.500	0.129	0.568
ADCY1	ADCY5	9606.ENSP00000297323	9606.ENSP00000419361	0	0	0.079	0.881	0.108	0	0.500	0.132	0.595
ADCY1	PLCB1	9606.ENSP00000297323	9606.ENSP00000338185	0	0	0	0	0.112	0	0	0.621	0.650
ADCY1	CREB1	9606.ENSP00000297323	9606.ENSP00000387699	0	0	0	0	0	0	0.500	0.387	0.680
ADCY1	AKT2	9606.ENSP00000297323	9606.ENSP00000375892	0	0	0	0	0.047	0.061	0.650	0.099	0.680
ADCY1	AKT1	9606.ENSP00000297323	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.199	0.714
ADCY1	PRKCB	9606.ENSP00000297323	9606.ENSP00000496129	0	0	0	0	0.061	0	0.650	0.203	0.715
ADCY1	ADCY2	9606.ENSP00000297323	9606.ENSP00000342952	0	0	0.074	0.833	0.084	0	0.500	0.408	0.715
ADCY1	ADCY7	9606.ENSP00000297323	9606.ENSP00000501053	0	0	0.087	0.831	0	0	0.500	0.432	0.718
ADCY1	PDE1C	9606.ENSP00000297323	9606.ENSP00000379496	0	0	0	0	0.062	0	0.650	0.233	0.726
ADCY1	PDE5A	9606.ENSP00000297323	9606.ENSP00000347046	0	0	0	0	0.055	0.126	0.670	0.164	0.742
ADCY1	PDE1A	9606.ENSP00000297323	9606.ENSP00000410309	0	0	0	0	0.084	0	0.650	0.296	0.754
ADCY1	CAMK2A	9606.ENSP00000297323	9606.ENSP00000500386	0	0	0	0	0.105	0.063	0.650	0.293	0.764
ADCY1	CAMK2B	9606.ENSP00000297323	9606.ENSP00000379098	0	0	0	0	0.201	0.063	0.650	0.229	0.770
ADCY1	PDE4D	9606.ENSP00000297323	9606.ENSP00000345502	0	0	0	0	0.055	0.126	0.670	0.290	0.781
ADCY1	PDE4A	9606.ENSP00000297323	9606.ENSP00000370078	0	0	0	0	0.060	0.126	0.670	0.341	0.798
ADCY1	PRKCA	9606.ENSP00000297323	9606.ENSP00000408695	0	0	0	0	0.071	0	0.650	0.437	0.801
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000384484	0	0	0	0.811	0	0	0.900	0.137	0.910
ADCY1	CNR1	9606.ENSP00000297323	9606.ENSP00000358513	0	0	0	0	0.083	0	0.900	0.125	0.912
